zone	r	T	rho	kap
0.00000E+00	7.37200E+08	0.00000E+00	0.00000E+00	0.00000E+00
1.00000E+00	7.36400E+08	3.16700E+03	1.54800E-08	2.37600E+01
2.00000E+00	7.36400E+08	8.56200E+03	4.29000E-08	1.68600E+00
3.00000E+00	7.35700E+08	1.39700E+04	1.04100E-08	1.29900E-01
4.00000E+00	7.35000E+08	1.93900E+04	9.55200E-08	2.13600E-01
5.00000E+00	7.34200E+08	2.21000E+04	2.49200E-08	9.52500E-02
6.00000E+00	7.33500E+08	2.21000E+04	3.60400E-08	8.60200E-02
7.00000E+00	7.32800E+08	2.21000E+04	7.29900E-10	3.62900E-02
8.00000E+00	7.32000E+08	2.21000E+04	1.02300E-08	5.29900E-02
9.00000E+00	7.31300E+08	2.21000E+04	1.78100E-08	6.35900E-02
1.00000E+01	7.30500E+08	2.21000E+04	3.32800E-08	8.28100E-02
1.10000E+01	7.29800E+08	2.21000E+04	6.19500E-08	1.14300E-01
1.20000E+01	7.29100E+08	2.21000E+04	1.15500E-07	1.66200E-01
1.30000E+01	7.28300E+08	2.21000E+04	2.15600E-07	2.51900E-01
1.40000E+01	7.27600E+08	2.21000E+04	4.02900E-07	3.93400E-01
1.50000E+01	7.26900E+08	2.21000E+04	7.53900E-07	6.27300E-01
1.60000E+01	7.26100E+08	2.21100E+04	1.41100E-06	1.01300E+00
1.70000E+01	7.25400E+08	2.21400E+04	2.64100E-06	1.64400E+00
1.80000E+01	7.24600E+08	2.22300E+04	4.92800E-06	2.65100E+00
1.90000E+01	7.23900E+08	2.24800E+04	9.09200E-06	4.14300E+00
2.00000E+01	7.23200E+08	2.31300E+04	1.63000E-05	5.96700E+00
2.10000E+01	7.22400E+08	2.44700E+04	2.77300E-05	7.47700E+00
2.20000E+01	7.21700E+08	2.65400E+04	4.42100E-05	8.14700E+00
2.30000E+01	7.21000E+08	2.91100E+04	6.66200E-05	8.16600E+00
2.40000E+01	7.20200E+08	3.19400E+04	9.61200E-05	7.92100E+00
2.50000E+01	7.19500E+08	3.48900E+04	1.34000E-04	7.60400E+00
2.60000E+01	7.18700E+08	3.79000E+04	1.81700E-04	7.28100E+00
2.70000E+01	7.18000E+08	4.09400E+04	2.40700E-04	6.97600E+00
2.80000E+01	7.17300E+08	4.40000E+04	3.12600E-04	6.69500E+00
2.90000E+01	7.16500E+08	4.70800E+04	3.99000E-04	6.43700E+00
3.00000E+01	7.15800E+08	5.01600E+04	5.01700E-04	6.20200E+00
3.10000E+01	7.15100E+08	5.32600E+04	6.22500E-04	5.98700E+00
3.20000E+01	7.14300E+08	5.63600E+04	7.63300E-04	5.79000E+00
3.30000E+01	7.13600E+08	5.94700E+04	9.26300E-04	5.60900E+00
3.40000E+01	7.12900E+08	6.25800E+04	1.11300E-03	5.44100E+00
3.50000E+01	7.12100E+08	6.57100E+04	1.32700E-03	5.28600E+00
3.60000E+01	7.11400E+08	6.88400E+04	1.56900E-03	5.14100E+00
3.70000E+01	7.10600E+08	7.19700E+04	1.84200E-03	5.00700E+00
3.80000E+01	7.09900E+08	7.51200E+04	2.14900E-03	4.88100E+00
3.90000E+01	7.09200E+08	7.82700E+04	2.49200E-03	4.76300E+00
4.00000E+01	7.08400E+08	8.14300E+04	2.87300E-03	4.65200E+00
4.10000E+01	7.07700E+08	8.46000E+04	3.29600E-03	4.54800E+00
4.20000E+01	7.07000E+08	8.77700E+04	3.76300E-03	4.44900E+00
